,Unnamed: 0,question,correct_answer,guess,buzz,sentence_count,guess_word_count,guess_has_paren,guess_length,guess_entity
0,0,.One film produced in this country takes place on St,Kingdom of Sweden [or Konungariket Sverige],Battleship_Potemkin,False,2,2,0,19,"{'entity': 'I-MISC', 'score': 0.90084857, 'index': 2, 'word': '##ship', 'start': 6, 'end': 10}"
1,1,".One film produced in this country takes place on St. Sylvester's Night, and sees the protagonist David come to terms with his past wrongdoings; that film is The Phantom Chariot",Kingdom of Sweden [or Konungariket Sverige],David,False,3,1,0,5,"{'entity': 'I-PER', 'score': 0.9964824, 'index': 1, 'word': 'David', 'start': 0, 'end': 5}"
2,2,".One film produced in this country takes place on St. Sylvester's Night, and sees the protagonist David come to terms with his past wrongdoings; that film is The Phantom Chariot. Another film from this country centers on a medical professor thinking of Marianne and Sara on a trip to receive an honorary degree",Kingdom of Sweden [or Konungariket Sverige],Battleship_Potemkin,False,4,2,0,19,"{'entity': 'I-MISC', 'score': 0.90084857, 'index': 2, 'word': '##ship', 'start': 6, 'end': 10}"
3,3,".One film produced in this country takes place on St. Sylvester's Night, and sees the protagonist David come to terms with his past wrongdoings; that film is The Phantom Chariot. Another film from this country centers on a medical professor thinking of Marianne and Sara on a trip to receive an honorary degree. Martin Luther King, Jr",Kingdom of Sweden [or Konungariket Sverige],Martin_Luther,False,5,2,0,13,"{'entity': 'I-PER', 'score': 0.99532074, 'index': 1, 'word': 'Martin', 'start': 0, 'end': 6}"
4,4,".One film produced in this country takes place on St. Sylvester's Night, and sees the protagonist David come to terms with his past wrongdoings; that film is The Phantom Chariot. Another film from this country centers on a medical professor thinking of Marianne and Sara on a trip to receive an honorary degree. Martin Luther King, Jr. briefly appears in a 1967 film by a director from this country that was deemed pornographic in Massachusetts, I Am Curious [Yellow]",Kingdom of Sweden [or Konungariket Sverige],Martin_Luther,False,6,2,0,13,"{'entity': 'I-PER', 'score': 0.99532074, 'index': 1, 'word': 'Martin', 'start': 0, 'end': 6}"
5,5,".One film produced in this country takes place on St. Sylvester's Night, and sees the protagonist David come to terms with his past wrongdoings; that film is The Phantom Chariot. Another film from this country centers on a medical professor thinking of Marianne and Sara on a trip to receive an honorary degree. Martin Luther King, Jr. briefly appears in a 1967 film by a director from this country that was deemed pornographic in Massachusetts, I Am Curious [Yellow]. The most notable director from this country captured Best Foreign Language Film Oscars for The Virgin Spring and Through a Glass Darkly and directed a film about a knight who plays chess with Death",Kingdom of Sweden [or Konungariket Sverige],Battleship_Potemkin,False,7,2,0,19,"{'entity': 'I-MISC', 'score': 0.90084857, 'index': 2, 'word': '##ship', 'start': 6, 'end': 10}"
6,6,".One film produced in this country takes place on St. Sylvester's Night, and sees the protagonist David come to terms with his past wrongdoings; that film is The Phantom Chariot. Another film from this country centers on a medical professor thinking of Marianne and Sara on a trip to receive an honorary degree. Martin Luther King, Jr. briefly appears in a 1967 film by a director from this country that was deemed pornographic in Massachusetts, I Am Curious [Yellow]. The most notable director from this country captured Best Foreign Language Film Oscars for The Virgin Spring and Through a Glass Darkly and directed a film about a knight who plays chess with Death. For 10 points, name this country, the home of the director of The Seventh Seal, Ingmar Bergman",Kingdom of Sweden [or Konungariket Sverige],Battleship_Potemkin,False,8,2,0,19,"{'entity': 'I-MISC', 'score': 0.90084857, 'index': 2, 'word': '##ship', 'start': 6, 'end': 10}"
7,7,".One film produced in this country takes place on St. Sylvester's Night, and sees the protagonist David come to terms with his past wrongdoings; that film is The Phantom Chariot. Another film from this country centers on a medical professor thinking of Marianne and Sara on a trip to receive an honorary degree. Martin Luther King, Jr. briefly appears in a 1967 film by a director from this country that was deemed pornographic in Massachusetts, I Am Curious [Yellow]. The most notable director from this country captured Best Foreign Language Film Oscars for The Virgin Spring and Through a Glass Darkly and directed a film about a knight who plays chess with Death. For 10 points, name this country, the home of the director of The Seventh Seal, Ingmar Bergman.",Kingdom of Sweden [or Konungariket Sverige],Battleship_Potemkin,False,9,2,0,19,"{'entity': 'I-MISC', 'score': 0.90084857, 'index': 2, 'word': '##ship', 'start': 6, 'end': 10}"
8,8,"One film produced in this country takes place on St. Sylvester's Night, and sees the protagonist David come to terms with his past wrongdoings; that film is The Phantom Chariot. Another film from this country centers on a medical professor thinking of Marianne and Sara on a trip to receive an honorary degree. Martin Luther King, Jr. briefly appears in a 1967 film by a director from this country that was deemed pornographic in Massachusetts, I Am Curious [Yellow]. The most notable director from this country captured Best Foreign Language Film Oscars for The Virgin Spring and Through a Glass Darkly and directed a film about a knight who plays chess with Death. For 10 points, name this country, the home of the director of The Seventh Seal, Ingmar Bergman.",Kingdom of Sweden [or Konungariket Sverige],Battleship_Potemkin,False,8,2,0,19,"{'entity': 'I-MISC', 'score': 0.90084857, 'index': 2, 'word': '##ship', 'start': 6, 'end': 10}"
9,9,".A drunken scene follows a singing contest in this author's story ""The Singer",Ivan Turgenev,The_Heart_Is_a_Lonely_Hunter,False,2,6,0,28,"{'entity': 'I-MISC', 'score': 0.6187491, 'index': 3, 'word': 'Heart', 'start': 4, 'end': 9}"
10,10,".A drunken scene follows a singing contest in this author's story ""The Singer."" Five boys guarding horses tell ghost stories around a fire in another of his stories called ""Bezhin Lea",Ivan Turgenev,Horse,False,3,1,0,5,
11,11,".A drunken scene follows a singing contest in this author's story ""The Singer."" Five boys guarding horses tell ghost stories around a fire in another of his stories called ""Bezhin Lea."" Liza joins a convent after the appearance of Lavretsky's supposed-dead wife in one of his novels, while Elena's interaction with a Bulgarian patriot forms the basis of another of his works",Ivan Turgenev,Ghost,False,4,1,0,5,
12,12,".A drunken scene follows a singing contest in this author's story ""The Singer."" Five boys guarding horses tell ghost stories around a fire in another of his stories called ""Bezhin Lea."" Liza joins a convent after the appearance of Lavretsky's supposed-dead wife in one of his novels, while Elena's interaction with a Bulgarian patriot forms the basis of another of his works. This author of Home of the Gentry and On the Eve also wrote about Natasha's failed love with the title nobleman in Rudin, as well as an account about a man bed-ridden in Sheep's Springs with only two weeks to live, Chulkaturin",Ivan Turgenev,War_and_Peace,False,5,3,0,13,
